Number,Road,Type,Load,Location,Track,Final Destination,Track,Train,Moves,Date and Time
0823,NYC,XM,E,Pier Float,Float Tracks,,,,0,2023/01/10 07:59:26
5964,NYNH&H,XM,E,Pier Float,Float Tracks,,,,0,2023/01/10 07:59:26
0730,MDX,RS,E,Pier Float,Float Tracks,,,,0,2023/01/10 07:59:26
9818,PRR,XM,E,Pier Float,Float Tracks,,,,0,2023/01/10 07:59:26
6325,PRR,HK,E,Pier Float,Float Tracks,,,,0,2023/01/10 07:59:26
3995,DL&W,XM,E,Pier Float,Float Tracks,,,,0,2023/01/10 07:59:26
7441,PL,GA,E,Pier Float,Float Tracks,,,,0,2023/01/10 07:59:26
4987,PGCC,HK,E,Pier Float,Float Tracks,,,,0,2023/01/10 07:59:26
3405,ACL,XM,E,Pier Float,Float Tracks,,,,0,2023/01/10 07:59:26
1976,PGCC,HK,E,Pier Float,Float Tracks,,,,0,2023/01/10 07:59:26
8024,ER,GA,E,Pier Float,Float Tracks,,,,0,2023/01/10 07:59:26
6475,CNJ,XM,E,Pier Float,Float Tracks,,,,0,2023/01/10 07:59:26
6550,PGCC,HK,E,Pier Float,Float Tracks,,,,0,2023/01/10 07:59:26
6820,CNJ,FM,E,Pier Float,Float Tracks,,,,0,2023/01/10 08:00:42
9774,PL,XM,E,Pier Float,Float Tracks,,,,0,2023/01/10 08:00:42
5177,PL,GA,E,Pier Float,Float Tracks,,,,0,2023/01/10 08:00:42
0420,FGEX,RS,E,Pier Float,Float Tracks,,,,0,2023/01/10 08:00:42
0823,NYC,XM,E,Pier Float,Float Tracks,,,,0,2023/01/10 08:00:42
5964,NYNH&H,XM,E,Pier Float,Float Tracks,,,,0,2023/01/10 08:00:42
0730,MDX,RS,E,Pier Float,Float Tracks,,,,0,2023/01/10 08:00:42
9818,PRR,XM,E,Pier Float,Float Tracks,,,,0,2023/01/10 08:00:42
6325,PRR,HK,E,Pier Float,Float Tracks,,,,0,2023/01/10 08:00:42
3995,DL&W,XM,E,Pier Float,Float Tracks,,,,0,2023/01/10 08:00:42
7441,PL,GA,E,Pier Float,Float Tracks,,,,0,2023/01/10 08:00:42
4987,PGCC,HK,E,Pier Float,Float Tracks,,,,0,2023/01/10 08:00:42
3405,ACL,XM,E,Pier Float,Float Tracks,,,,0,2023/01/10 08:00:42
1976,PGCC,HK,E,Pier Float,Float Tracks,,,,0,2023/01/10 08:00:42
8024,ER,GA,E,Pier Float,Float Tracks,,,,0,2023/01/10 08:00:42
6475,CNJ,XM,E,Pier Float,Float Tracks,,,,0,2023/01/10 08:00:42
6550,PGCC,HK,E,Pier Float,Float Tracks,,,,0,2023/01/10 08:00:42
2291,PL,,E,North 4th St,Freight Station,,,,0,2023/01/10 10:45:21
2497,WJ&S,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:21
1747,TCX,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:21
5836,DL&W,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:21
9519,MDX,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:21
1240,PRR,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:21
1035,DL&W,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:21
3698,FGEX,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:21
9600,P&R,,E,North 4th St,Crane,,,,0,2023/01/10 10:45:21
0420,FGEX,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:21
8024,ER,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:21
7741,P&R,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:21
9511,ER,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:21
7499,FGEX,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:21
5316,PL,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:21
1471,PL,,E,North 4th St,Crane,,,,0,2023/01/10 10:45:21
9774,PL,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:21
6084,PRR,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:21
1455,WJ&S,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:21
5974,WJ&S,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:21
5437,SP,,E,North 4th St,Freight Station,,,,0,2023/01/10 10:45:21
0730,MDX,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:21
5288,AT&SF,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:21
4434,ACL,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:21
5964,NYNH&H,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:21
6144,B&O,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:21
1431,PRR,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:21
6325,PRR,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:21
9710,MDX,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:21
1976,PGCC,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:21
2876,B&A,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:21
8214,WJ&S,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:21
6956,NYC,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:21
5762,NYNH&H,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:21
0771,WJ&S,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:21
2279,WJ&S,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:21
7441,PL,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:21
0823,NYC,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:21
5377,ER,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:21
3236,MDX,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:21
1505,WJ&S,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:21
5507,WCC,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:21
6550,PGCC,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:21
3995,DL&W,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:21
1789,PRR,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:21
2673,PRR,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:21
8767,NYNH&H,,E,North 4th St,Freight Station,,,,0,2023/01/10 10:45:21
3950,PL,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:21
3355,PL,,E,North 4th St,Freight Station,,,,0,2023/01/10 10:45:21
9032,PL,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:21
5177,PL,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:21
0618,PRR,,E,North 4th St,Freight Station,,,,0,2023/01/10 10:45:21
9514,PGCC,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:21
3405,ACL,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:21
5836,WJ&S,,E,North 4th St,Freight Station,,,,0,2023/01/10 10:45:21
4177,ACL,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:21
6475,CNJ,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:21
4987,PGCC,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:21
2398,M&P,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:21
8371,CNJ,,E,North 4th St,Freight Station,,,,0,2023/01/10 10:45:21
7502,FGEX,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:21
4885,CNJ,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:21
8711,FGEX,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:21
4239,PL,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:21
6820,CNJ,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:21
0226,B&O,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:21
0830,NYC,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:21
9442,FGEX,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:21
5281,FGEX,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:21
9818,PRR,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:21
2291,PL,,E,North 4th St,Freight Station,,,,0,2023/01/10 10:45:36
2497,WJ&S,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:36
1747,TCX,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:36
5836,DL&W,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:36
9519,MDX,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:36
1240,PRR,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:36
1035,DL&W,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:36
3698,FGEX,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:36
9600,P&R,,E,North 4th St,Crane,,,,0,2023/01/10 10:45:36
0420,FGEX,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:36
8024,ER,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:36
